"VendorID"|"VendorName"|"AddressLine1"|"AddressLine2"|"AddressLine3"|"City"|"State"|"Country"|"PostalCode"|"PhoneNumber"|"EmailAddress"|"UseEmail"|"GLAcct"|"Memo"|"CustomData1"|"CustomData2"|"ExcludeFromACH_YN"|"BankAccountNumber"|"SECCode"|"RoutingNumber"|"TransactionType"
"50094"|"ALBERT FREUD"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"99999"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.1291"|""|"N"|"999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50022"|"BOB SMITH"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"99999"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.548"|""|"N"|"9999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50051"|"DUANE JOHNSON"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"99999"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.489"|""|"N"|"9999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50042"|"JOHN WILLIAMS"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"99999"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.1519"|""|"N"|"9999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50091"|"KAREN NGUYEN"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"99999"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.1245"|""|"N"|"999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50025"|"MARY JONES"|"12345 SOME STREE W"|"Unit B"|""|"CITY NAME"|"ST"|"US"|"99999"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.711"|""|"N"|"999999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50090"|"MARY WILLIAMS"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"999998888"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.1456"|""|"N"|"9999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50048"|"PAT JACOBS"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"99999"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.433"|""|"N"|"999999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50027"|"SARAH PETERSON"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"99999"|""|""|"N"|""|"VP Employee Expense Vendor Record"|"99.189"|""|"N"|"99999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
"50050"|"SCOTT THOMPSON"|"12345 SOME STREE W"|""|""|"CITY NAME"|"ST"|"US"|"999998888"|"(888) 555-1212"|""|"N"|""|"VP Employee Expense Vendor Record"|"99.483"|""|"N"|"9999999999"|"PPD"|"9999999999"|"Checking - Credit Entry"
